meeting_id,meeting_title,meeting_date,meeting_url,agenda_label,doc_id,doc_type,doc_label,doc_url,local_path,status,year,has_file
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15078439,amendement,L.A VVD amendement Badhuisarchitectuur als drager voor nieuwe ontwikkeling Badhuisweg,https://denhaag.raadsinformatie.nl/document/15078439/1/L_A+VVD+amendement+Badhuisarchitectuur+als+drager+voor+nieuwe+ontwikkeling+Badhuisweg?connection_type=1&connection_id=8975977,data/denhaag/2025/1259560/files/amendement-15078439-l-a-vvd-amendement-badhuisarchitectuur-als-drager-voor-nieuwe-ontwikkeling-badhuisweg.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15118898,amendement,L.A VVD amendement Badhuisarchitectuur als drager voor nieuwe ontwikkeling Badhuisweg,https://denhaag.raadsinformatie.nl/document/15118898/1/L_A+VVD+amendement+Badhuisarchitectuur+als+drager+voor+nieuwe+ontwikkeling+Badhuisweg?connection_type=17&connection_id=11496019,data/denhaag/2025/1259560/files/amendement-15118898-l-a-vvd-amendement-badhuisarchitectuur-als-drager-voor-nieuwe-ontwikkeling-badhuisweg.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15079099,amendement,N.A HvDH amendement Onteigening voorkomen met minnelijk overleg,https://denhaag.raadsinformatie.nl/document/15079099/1/N_A+HvDH+amendement+Onteigening+voorkomen+met+minnelijk+overleg?connection_type=1&connection_id=8981302,data/denhaag/2025/1259560/files/amendement-15079099-n-a-hvdh-amendement-onteigening-voorkomen-met-minnelijk-overleg.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15118925,amendement,N.A HvDH amendement Onteigening voorkomen met minnelijk overleg,https://denhaag.raadsinformatie.nl/document/15118925/1/N_A+HvDH+amendement+Onteigening+voorkomen+met+minnelijk+overleg?connection_type=17&connection_id=11496034,data/denhaag/2025/1259560/files/amendement-15118925-n-a-hvdh-amendement-onteigening-voorkomen-met-minnelijk-overleg.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15079647,amendement,O.A HvDH amendement Schrappen strengere lokale regels als gunningscriterium,https://denhaag.raadsinformatie.nl/document/15079647/1/O_A+HvDH+amendement+Schrappen+strengere+lokale+regels+als+gunningscriterium?connection_type=1&connection_id=8975975,data/denhaag/2025/1259560/files/amendement-15079647-o-a-hvdh-amendement-schrappen-strengere-lokale-regels-als-gunningscriterium.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15118937,amendement,O.A HvDH amendement Schrappen strengere lokale regels als gunningscriterium,https://denhaag.raadsinformatie.nl/document/15118937/1/O_A+HvDH+amendement+Schrappen+strengere+lokale+regels+als+gunningscriterium?connection_type=17&connection_id=11496035,data/denhaag/2025/1259560/files/amendement-15118937-o-a-hvdh-amendement-schrappen-strengere-lokale-regels-als-gunningscriterium.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15079664,amendement,O.B CDA amendement Grondbeleid ook voor leefbaarheid en voorzieningen,https://denhaag.raadsinformatie.nl/document/15079664/1/O_B+CDA+amendement+Grondbeleid+ook+voor+leefbaarheid+en+voorzieningen?connection_type=1&connection_id=8975975,data/denhaag/2025/1259560/files/amendement-15079664-o-b-cda-amendement-grondbeleid-ook-voor-leefbaarheid-en-voorzieningen.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,15118938,amendement,O.B CDA amendement Grondbeleid ook voor leefbaarheid en voorzieningen,https://denhaag.raadsinformatie.nl/document/15118938/1/O_B+CDA+amendement+Grondbeleid+ook+voor+leefbaarheid+en+voorzieningen?connection_type=17&connection_id=11496040,data/denhaag/2025/1259560/files/amendement-15118938-o-b-cda-amendement-grondbeleid-ook-voor-leefbaarheid-en-voorzieningen.pdf,downloaded,2025,True
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,doc,amendement,Onteigening voorkomen met minnelijk overleg (amendement N.A HvDH),"https://denhaag.raadsinformatie.nl/modules/6/moties,_amendementen_en_initiatieven/1012373?parent_event=1259560",,error: cannot access local variable 're' where it is not associated with a value,2025,False
1259560,Gemeenteraad 23 januari 2025,2025-01-23,https://denhaag.raadsinformatie.nl/vergadering/1259560/Gemeenteraad 23-01-2025,Agenda,doc,amendement,Schrap verplichte rustperiodes evenementen (amendement J.B HvDH),"https://denhaag.raadsinformatie.nl/modules/6/moties,_amendementen_en_initiatieven/1012350?parent_event=1259560",,error: cannot access local variable 're' where it is not associated with a value,2025,False
